dataset,geography,period,metric,value,unit,source_org,source_url,evidence_type,notes
Census 2011,Chennai District,2011,total_population,4646732,persons,Office of the Registrar General & Census Commissioner India,https://censusindia.gov.in/nada/index.php/catalog/45344,OBSERVED DATA,District Census Handbook Part B / PCA
Census 2011,Chennai District,2011,male_population,2335844,persons,Office of the Registrar General & Census Commissioner India,https://censusindia.gov.in/nada/index.php/catalog/45344,OBSERVED DATA,District Census Handbook Part B / PCA
Census 2011,Chennai District,2011,female_population,2310888,persons,Office of the Registrar General & Census Commissioner India,https://censusindia.gov.in/nada/index.php/catalog/45344,OBSERVED DATA,District Census Handbook Part B / PCA
Census 2011,Chennai District,2011,normal_households,1142121,households,Office of the Registrar General & Census Commissioner India,https://censusindia.gov.in/nada/index.php/catalog/45344,OBSERVED DATA,Normal households only
Census 2011,Chennai District,2011,population_density,26553,persons_per_sq_km,Office of the Registrar General & Census Commissioner India,https://censusindia.gov.in/nada/index.php/catalog/45343,OBSERVED DATA,District highlight
Census 2011,Chennai District,2011,sex_ratio,989,females_per_1000_males,Office of the Registrar General & Census Commissioner India,https://censusindia.gov.in/nada/index.php/catalog/45343,OBSERVED DATA,District highlight
Census 2011,Chennai District,2011,literacy_rate,90.2,percent,Office of the Registrar General & Census Commissioner India,https://censusindia.gov.in/nada/index.php/catalog/45343,OBSERVED DATA,District highlight
Census 2011,Chennai District,2011,work_participation_rate,39.1,percent,Office of the Registrar General & Census Commissioner India,https://censusindia.gov.in/nada/index.php/catalog/45343,OBSERVED DATA,District highlight
Chennai District Statistical Handbook,Chennai District,2016-17,domestic_electricity_consumption,5375.43,MU,Tamil Nadu Department of Economics and Statistics,https://cdn.s3waas.gov.in/s313f3cf8c531952d72e5847c4183e6910/uploads/2018/06/2018062923.pdf,OBSERVED DATA,Power Consumption Sectorwise table 10.3
Chennai District Statistical Handbook,Chennai District,2016-17,total_electricity_consumption,10073.89,MU,Tamil Nadu Department of Economics and Statistics,https://cdn.s3waas.gov.in/s313f3cf8c531952d72e5847c4183e6910/uploads/2018/06/2018062923.pdf,OBSERVED DATA,Power Consumption Sectorwise table 10.3
Chennai District Statistical Handbook,Chennai District,2016-17,water_house_connections,605510,connections,Chennai Metropolitan Water Supply and Sewerage Board,https://cdn.s3waas.gov.in/s313f3cf8c531952d72e5847c4183e6910/uploads/2018/06/2018062923.pdf,OBSERVED DATA,Table 47.3; includes previous-year plus during-year connections
Chennai District Statistical Handbook,Chennai District,2016-17,water_supply_normal,120,litres_per_capita_per_day,Chennai Metropolitan Water Supply and Sewerage Board,https://cdn.s3waas.gov.in/s313f3cf8c531952d72e5847c4183e6910/uploads/2018/06/2018062923.pdf,OBSERVED DATA,Table 47.3 normal condition
Chennai District Statistical Handbook,Chennai District,2016-17,water_supply_drought,70,litres_per_capita_per_day,Chennai Metropolitan Water Supply and Sewerage Board,https://cdn.s3waas.gov.in/s313f3cf8c531952d72e5847c4183e6910/uploads/2018/06/2018062923.pdf,OBSERVED DATA,Table 47.3 drought condition
Chennai District Statistical Handbook,Chennai Corporation,2015-16,private_buildings_completed,4667,buildings,Tamil Nadu Department of Economics and Statistics,https://cdn.s3waas.gov.in/s313f3cf8c531952d72e5847c4183e6910/uploads/2018/06/2018062923.pdf,OBSERVED DATA,Table 16.1
Chennai District Statistical Handbook,Chennai Corporation,2015-16,public_buildings_completed,40,buildings,Tamil Nadu Department of Economics and Statistics,https://cdn.s3waas.gov.in/s313f3cf8c531952d72e5847c4183e6910/uploads/2018/06/2018062923.pdf,OBSERVED DATA,Table 16.2
Chennai District Statistical Handbook,Chennai Metropolitan Area,2015-16,mtc_fleet_strength,3794,buses,Tamil Nadu Transport Department,https://cdn.s3waas.gov.in/s313f3cf8c531952d72e5847c4183e6910/uploads/2018/06/2018062923.pdf,OBSERVED DATA,Table 43.5
Chennai District Statistical Handbook,Chennai Metropolitan Area,2015-16,mtc_passengers_per_day,49.65,lakh_passengers_per_day,Tamil Nadu Transport Department,https://cdn.s3waas.gov.in/s313f3cf8c531952d72e5847c4183e6910/uploads/2018/06/2018062923.pdf,OBSERVED DATA,Table 43.5
Chennai District Statistical Handbook,Chennai Metropolitan Area,2015-16,mtc_routes,806,routes,Tamil Nadu Transport Department,https://cdn.s3waas.gov.in/s313f3cf8c531952d72e5847c4183e6910/uploads/2018/06/2018062923.pdf,OBSERVED DATA,Table 43.5
MTC Performance Indicators,Chennai Metropolitan Area,2024-25,mtc_fleet_strength,3407,buses,Metropolitan Transport Corporation Chennai,https://mtcbus.tn.gov.in/Home/performance,OBSERVED DATA,Official performance indicator
MTC Performance Indicators,Chennai Metropolitan Area,2024-25,mtc_scheduled_services,3233,services,Metropolitan Transport Corporation Chennai,https://mtcbus.tn.gov.in/Home/performance,OBSERVED DATA,Official performance indicator
MTC Performance Indicators,Chennai Metropolitan Area,2024-25,mtc_occupancy,71.22,percent,Metropolitan Transport Corporation Chennai,https://mtcbus.tn.gov.in/Home/performance,OBSERVED DATA,Official performance indicator
MTC Performance Indicators,Chennai Metropolitan Area,2024-25,mtc_passengers_per_day,32.24,lakh_passengers_per_day,Metropolitan Transport Corporation Chennai,https://mtcbus.tn.gov.in/Home/performance,OBSERVED DATA,Official performance indicator
MTC Performance Indicators,Chennai Metropolitan Area,2024-25,mtc_effective_km,2635.25,lakh_km,Metropolitan Transport Corporation Chennai,https://mtcbus.tn.gov.in/Home/performance,OBSERVED DATA,Official performance indicator
CMRL Ridership,Chennai Metro,2022,cmrl_annual_passengers,60987765,passenger_journeys,Chennai Metro Rail Limited,https://chennaimetrorail.org/wp-content/uploads/2026/01/Press-Release-02.01.2026-English.pdf,OBSERVED DATA,Calendar-year ridership reported by CMRL
CMRL Ridership,Chennai Metro,2023,cmrl_annual_passengers,91102957,passenger_journeys,Chennai Metro Rail Limited,https://chennaimetrorail.org/wp-content/uploads/2026/01/Press-Release-02.01.2026-English.pdf,OBSERVED DATA,Calendar-year ridership reported by CMRL
CMRL Ridership,Chennai Metro,2024,cmrl_annual_passengers,105243721,passenger_journeys,Chennai Metro Rail Limited,https://chennaimetrorail.org/wp-content/uploads/2026/01/Press-Release-02.01.2026-English.pdf,OBSERVED DATA,Calendar-year ridership reported by CMRL
